event_id_cnty,event_date,year,event_type,sub_event_type,admin1,admin2,location,latitude,longitude,fatalities,notes
GHA467,2005-01-07,2005,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.4361,-1.6323,0,Event recorded in Ashanti on 2005-01-07
GHA468,2005-01-09,2005,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.2743,-1.822,4,Event recorded in Ashanti on 2005-01-09
GHA469,2005-01-16,2005,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.7049,-1.4362,0,Event recorded in Ashanti on 2005-01-16
GHA470,2005-01-28,2005,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.6821,-1.9839,5,Event recorded in Ashanti on 2005-01-28
GHA471,2005-02-23,2005,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.8847,-1.239,0,Event recorded in Ashanti on 2005-02-23
GHA472,2005-05-27,2005,Riots,Riots,Ashanti,Ashanti,Ashanti,6.8699,-1.7845,0,Event recorded in Ashanti on 2005-05-27
GHA473,2005-06-10,2005,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.7033,-0.8604,0,Event recorded in Ashanti on 2005-06-10
GHA474,2005-07-05,2005,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.8183,-1.5596,0,Event recorded in Ashanti on 2005-07-05
GHA475,2005-07-22,2005,Riots,Riots,Ashanti,Ashanti,Ashanti,6.2956,-1.7063,0,Event recorded in Ashanti on 2005-07-22
GHA476,2005-08-19,2005,Protests,Protests,Ashanti,Ashanti,Ashanti,7.097,-1.3182,0,Event recorded in Ashanti on 2005-08-19
GHA477,2005-08-23,2005,Battles,Battles,Ashanti,Ashanti,Ashanti,6.4955,-1.7405,2,Event recorded in Ashanti on 2005-08-23
GHA478,2005-08-25,2005,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.7264,-1.1628,0,Event recorded in Ashanti on 2005-08-25
GHA479,2005-09-25,2005,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.6614,-1.3393,0,Event recorded in Ashanti on 2005-09-25
GHA480,2005-11-22,2005,Battles,Battles,Ashanti,Ashanti,Ashanti,6.66,-2.1251,0,Event recorded in Ashanti on 2005-11-22
GHA481,2005-11-29,2005,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.9954,-1.6336,0,Event recorded in Ashanti on 2005-11-29
GHA482,2005-12-03,2005,Protests,Protests,Ashanti,Ashanti,Ashanti,6.4574,-2.0155,0,Event recorded in Ashanti on 2005-12-03
GHA483,2005-12-07,2005,Riots,Riots,Ashanti,Ashanti,Ashanti,6.7483,-1.5892,0,Event recorded in Ashanti on 2005-12-07
GHA484,2005-12-28,2005,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.3295,-1.8602,2,Event recorded in Ashanti on 2005-12-28
GHA485,2006-01-19,2006,Protests,Protests,Ashanti,Ashanti,Ashanti,6.8145,-1.5582,0,Event recorded in Ashanti on 2006-01-19
GHA486,2006-04-24,2006,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.5588,-1.4455,0,Event recorded in Ashanti on 2006-04-24
GHA487,2006-05-07,2006,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.2798,-1.5407,0,Event recorded in Ashanti on 2006-05-07
GHA488,2006-05-18,2006,Protests,Protests,Ashanti,Ashanti,Ashanti,6.765,-1.4128,0,Event recorded in Ashanti on 2006-05-18
GHA489,2006-06-23,2006,Protests,Protests,Ashanti,Ashanti,Ashanti,7.0458,-1.2721,0,Event recorded in Ashanti on 2006-06-23
GHA490,2006-07-05,2006,Protests,Protests,Ashanti,Ashanti,Ashanti,6.4539,-1.7162,0,Event recorded in Ashanti on 2006-07-05
GHA491,2006-07-14,2006,Protests,Protests,Ashanti,Ashanti,Ashanti,7.051,-1.4133,0,Event recorded in Ashanti on 2006-07-14
GHA492,2006-07-21,2006,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.3251,-1.9998,0,Event recorded in Ashanti on 2006-07-21
GHA493,2006-07-26,2006,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.2157,-1.8416,0,Event recorded in Ashanti on 2006-07-26
GHA494,2006-08-20,2006,Battles,Battles,Ashanti,Ashanti,Ashanti,6.6927,-1.6922,3,Event recorded in Ashanti on 2006-08-20
GHA495,2006-08-28,2006,Riots,Riots,Ashanti,Ashanti,Ashanti,7.0482,-1.1596,0,Event recorded in Ashanti on 2006-08-28
GHA496,2006-11-17,2006,Protests,Protests,Ashanti,Ashanti,Ashanti,6.7338,-1.6103,0,Event recorded in Ashanti on 2006-11-17
GHA497,2006-11-21,2006,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.4043,-1.537,0,Event recorded in Ashanti on 2006-11-21
GHA498,2007-01-04,2007,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.3528,-1.4025,0,Event recorded in Ashanti on 2007-01-04
GHA499,2007-01-05,2007,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.6329,-1.8404,1,Event recorded in Ashanti on 2007-01-05
GHA500,2007-03-05,2007,Protests,Protests,Ashanti,Ashanti,Ashanti,6.68,-1.4049,0,Event recorded in Ashanti on 2007-03-05
GHA501,2007-03-23,2007,Protests,Protests,Ashanti,Ashanti,Ashanti,6.1403,-1.8766,0,Event recorded in Ashanti on 2007-03-23
GHA502,2007-05-06,2007,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,7.1005,-1.8657,0,Event recorded in Ashanti on 2007-05-06
GHA503,2007-05-25,2007,Protests,Protests,Ashanti,Ashanti,Ashanti,6.334,-1.4872,0,Event recorded in Ashanti on 2007-05-25
GHA504,2007-06-09,2007,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.8463,-2.265,2,Event recorded in Ashanti on 2007-06-09
GHA505,2007-06-19,2007,Protests,Protests,Ashanti,Ashanti,Ashanti,6.6643,-1.5252,0,Event recorded in Ashanti on 2007-06-19
GHA506,2007-06-21,2007,Protests,Protests,Ashanti,Ashanti,Ashanti,6.814,-1.7615,0,Event recorded in Ashanti on 2007-06-21
GHA507,2007-06-23,2007,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.5394,-1.6203,0,Event recorded in Ashanti on 2007-06-23
GHA508,2007-08-04,2007,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.8281,-2.0328,0,Event recorded in Ashanti on 2007-08-04
GHA509,2007-08-28,2007,Battles,Battles,Ashanti,Ashanti,Ashanti,6.5259,-1.7245,5,Event recorded in Ashanti on 2007-08-28
GHA510,2007-10-01,2007,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.8014,-1.9654,2,Event recorded in Ashanti on 2007-10-01
GHA511,2007-10-04,2007,Protests,Protests,Ashanti,Ashanti,Ashanti,6.7264,-1.8372,0,Event recorded in Ashanti on 2007-10-04
GHA512,2007-10-17,2007,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.3026,-1.2395,0,Event recorded in Ashanti on 2007-10-17
GHA513,2007-10-22,2007,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.2466,-1.8941,0,Event recorded in Ashanti on 2007-10-22
GHA514,2008-01-05,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.2658,-2.0732,0,Event recorded in Ashanti on 2008-01-05
GHA515,2008-01-09,2008,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.9943,-1.7209,1,Event recorded in Ashanti on 2008-01-09
GHA516,2008-01-17,2008,Battles,Battles,Ashanti,Ashanti,Ashanti,6.3539,-1.9895,0,Event recorded in Ashanti on 2008-01-17
GHA517,2008-01-30,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,5.8784,-1.5587,0,Event recorded in Ashanti on 2008-01-30
GHA518,2008-02-07,2008,Riots,Riots,Ashanti,Ashanti,Ashanti,6.9034,-1.8309,0,Event recorded in Ashanti on 2008-02-07
GHA519,2008-02-14,2008,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.4624,-1.6078,2,Event recorded in Ashanti on 2008-02-14
GHA520,2008-02-17,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,7.2342,-1.5606,0,Event recorded in Ashanti on 2008-02-17
GHA521,2008-02-22,2008,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.6651,-1.2282,0,Event recorded in Ashanti on 2008-02-22
GHA522,2008-02-27,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.6021,-1.9409,0,Event recorded in Ashanti on 2008-02-27
GHA523,2008-03-06,2008,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.9242,-1.5169,2,Event recorded in Ashanti on 2008-03-06
GHA524,2008-03-26,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.01,-1.0228,0,Event recorded in Ashanti on 2008-03-26
GHA525,2008-04-10,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.7926,-1.7285,0,Event recorded in Ashanti on 2008-04-10
GHA526,2008-04-28,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.4614,-1.4165,0,Event recorded in Ashanti on 2008-04-28
GHA527,2008-04-29,2008,Battles,Battles,Ashanti,Ashanti,Ashanti,6.892,-1.6794,0,Event recorded in Ashanti on 2008-04-29
GHA528,2008-05-22,2008,Battles,Battles,Ashanti,Ashanti,Ashanti,6.5233,-1.6741,1,Event recorded in Ashanti on 2008-05-22
GHA529,2008-06-03,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.1117,-1.5963,0,Event recorded in Ashanti on 2008-06-03
GHA530,2008-06-10,2008,Explosions/Remote violence,Explosions/Remote violence,Ashanti,Ashanti,Ashanti,6.6653,-1.897,0,Event recorded in Ashanti on 2008-06-10
GHA531,2008-06-30,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.5709,-1.8155,0,Event recorded in Ashanti on 2008-06-30
GHA532,2008-07-12,2008,Explosions/Remote violence,Explosions/Remote violence,Ashanti,Ashanti,Ashanti,6.502,-1.4841,0,Event recorded in Ashanti on 2008-07-12
GHA533,2008-07-19,2008,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.5627,-1.8338,0,Event recorded in Ashanti on 2008-07-19
GHA534,2008-07-21,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,7.0413,-1.1229,0,Event recorded in Ashanti on 2008-07-21
GHA535,2008-07-27,2008,Explosions/Remote violence,Explosions/Remote violence,Ashanti,Ashanti,Ashanti,6.4609,-1.5089,0,Event recorded in Ashanti on 2008-07-27
GHA536,2008-09-04,2008,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,7.2019,-1.9893,0,Event recorded in Ashanti on 2008-09-04
GHA537,2008-09-12,2008,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.5635,-1.692,0,Event recorded in Ashanti on 2008-09-12
GHA538,2008-09-19,2008,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.1022,-1.5057,1,Event recorded in Ashanti on 2008-09-19
GHA539,2008-09-22,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.3362,-2.059,0,Event recorded in Ashanti on 2008-09-22
GHA540,2008-10-01,2008,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.5564,-1.3262,0,Event recorded in Ashanti on 2008-10-01
GHA541,2008-10-06,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.8215,-1.2547,0,Event recorded in Ashanti on 2008-10-06
GHA542,2008-10-13,2008,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.7437,-1.1676,0,Event recorded in Ashanti on 2008-10-13
GHA543,2008-10-26,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.9472,-1.4069,0,Event recorded in Ashanti on 2008-10-26
GHA544,2008-10-29,2008,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.7979,-1.7622,0,Event recorded in Ashanti on 2008-10-29
GHA545,2008-11-05,2008,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.4414,-1.3839,2,Event recorded in Ashanti on 2008-11-05
GHA546,2008-11-28,2008,Riots,Riots,Ashanti,Ashanti,Ashanti,6.7055,-1.854,0,Event recorded in Ashanti on 2008-11-28
GHA547,2008-11-30,2008,Protests,Protests,Ashanti,Ashanti,Ashanti,6.547,-1.5286,0,Event recorded in Ashanti on 2008-11-30
GHA548,2008-12-09,2008,Riots,Riots,Ashanti,Ashanti,Ashanti,6.6105,-0.8285,0,Event recorded in Ashanti on 2008-12-09
GHA549,2008-12-17,2008,Riots,Riots,Ashanti,Ashanti,Ashanti,6.6583,-0.8826,0,Event recorded in Ashanti on 2008-12-17
GHA550,2008-12-19,2008,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.2505,-1.7804,1,Event recorded in Ashanti on 2008-12-19
GHA551,2008-12-28,2008,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.8846,-1.9077,0,Event recorded in Ashanti on 2008-12-28
GHA552,2008-12-30,2008,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.7437,-1.4441,0,Event recorded in Ashanti on 2008-12-30
GHA553,2009-01-14,2009,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.8576,-1.7269,1,Event recorded in Ashanti on 2009-01-14
GHA554,2009-02-02,2009,Riots,Riots,Ashanti,Ashanti,Ashanti,6.7311,-1.8193,0,Event recorded in Ashanti on 2009-02-02
GHA555,2009-02-27,2009,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,7.2766,-1.4674,0,Event recorded in Ashanti on 2009-02-27
GHA556,2009-04-06,2009,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.3138,-1.3424,0,Event recorded in Ashanti on 2009-04-06
GHA557,2009-04-12,2009,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.6959,-1.6764,1,Event recorded in Ashanti on 2009-04-12
GHA558,2009-04-15,2009,Battles,Battles,Ashanti,Ashanti,Ashanti,7.2889,-1.6231,1,Event recorded in Ashanti on 2009-04-15
GHA559,2009-05-22,2009,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.5611,-1.8662,0,Event recorded in Ashanti on 2009-05-22
GHA560,2009-07-24,2009,Protests,Protests,Ashanti,Ashanti,Ashanti,6.226,-1.1262,0,Event recorded in Ashanti on 2009-07-24
GHA561,2009-09-19,2009,Protests,Protests,Ashanti,Ashanti,Ashanti,6.736,-1.3591,0,Event recorded in Ashanti on 2009-09-19
GHA562,2009-10-02,2009,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.714,-1.4955,0,Event recorded in Ashanti on 2009-10-02
GHA563,2009-10-22,2009,Battles,Battles,Ashanti,Ashanti,Ashanti,6.6491,-2.0579,0,Event recorded in Ashanti on 2009-10-22
GHA564,2009-10-23,2009,Riots,Riots,Ashanti,Ashanti,Ashanti,6.641,-1.9807,0,Event recorded in Ashanti on 2009-10-23
GHA565,2009-10-29,2009,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.6876,-1.6563,3,Event recorded in Ashanti on 2009-10-29
GHA566,2009-11-18,2009,Riots,Riots,Ashanti,Ashanti,Ashanti,6.9701,-1.7146,0,Event recorded in Ashanti on 2009-11-18
GHA567,2009-12-16,2009,Protests,Protests,Ashanti,Ashanti,Ashanti,6.3735,-1.5576,0,Event recorded in Ashanti on 2009-12-16
GHA568,2010-01-03,2010,Riots,Riots,Ashanti,Ashanti,Ashanti,6.5693,-1.8814,0,Event recorded in Ashanti on 2010-01-03
GHA569,2010-01-13,2010,Protests,Protests,Ashanti,Ashanti,Ashanti,6.4814,-1.9816,0,Event recorded in Ashanti on 2010-01-13
GHA570,2010-01-16,2010,Riots,Riots,Ashanti,Ashanti,Ashanti,7.1991,-1.5432,0,Event recorded in Ashanti on 2010-01-16
GHA571,2010-02-06,2010,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.5535,-2.2111,2,Event recorded in Ashanti on 2010-02-06
GHA572,2010-02-20,2010,Battles,Battles,Ashanti,Ashanti,Ashanti,6.5721,-1.878,2,Event recorded in Ashanti on 2010-02-20
GHA573,2010-03-06,2010,Explosions/Remote violence,Explosions/Remote violence,Ashanti,Ashanti,Ashanti,6.7175,-1.1834,0,Event recorded in Ashanti on 2010-03-06
GHA574,2010-05-27,2010,Protests,Protests,Ashanti,Ashanti,Ashanti,6.5793,-1.2879,0,Event recorded in Ashanti on 2010-05-27
GHA575,2010-06-10,2010,Riots,Riots,Ashanti,Ashanti,Ashanti,6.6609,-1.1636,0,Event recorded in Ashanti on 2010-06-10
GHA576,2010-06-14,2010,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.341,-1.6496,0,Event recorded in Ashanti on 2010-06-14
GHA577,2010-06-15,2010,Riots,Riots,Ashanti,Ashanti,Ashanti,6.4531,-1.8609,0,Event recorded in Ashanti on 2010-06-15
GHA578,2010-07-08,2010,Riots,Riots,Ashanti,Ashanti,Ashanti,6.2981,-1.6339,0,Event recorded in Ashanti on 2010-07-08
GHA579,2010-07-31,2010,Protests,Protests,Ashanti,Ashanti,Ashanti,6.5335,-1.7739,0,Event recorded in Ashanti on 2010-07-31
GHA580,2010-08-01,2010,Protests,Protests,Ashanti,Ashanti,Ashanti,6.413,-1.579,0,Event recorded in Ashanti on 2010-08-01
GHA581,2010-08-09,2010,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.5774,-2.0497,2,Event recorded in Ashanti on 2010-08-09
GHA582,2010-08-12,2010,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.5672,-1.3008,3,Event recorded in Ashanti on 2010-08-12
GHA583,2010-09-08,2010,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.7121,-1.8607,1,Event recorded in Ashanti on 2010-09-08
GHA584,2010-10-07,2010,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.8107,-1.4028,0,Event recorded in Ashanti on 2010-10-07
GHA585,2010-10-13,2010,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.454,-1.3742,0,Event recorded in Ashanti on 2010-10-13
GHA586,2010-11-16,2010,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.8221,-2.0046,0,Event recorded in Ashanti on 2010-11-16
GHA587,2010-12-20,2010,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.9493,-1.6038,2,Event recorded in Ashanti on 2010-12-20
GHA588,2010-12-27,2010,Explosions/Remote violence,Explosions/Remote violence,Ashanti,Ashanti,Ashanti,6.671,-1.4787,0,Event recorded in Ashanti on 2010-12-27
GHA589,2011-02-01,2011,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.242,-1.0265,0,Event recorded in Ashanti on 2011-02-01
GHA590,2011-02-06,2011,Riots,Riots,Ashanti,Ashanti,Ashanti,6.7864,-1.4905,0,Event recorded in Ashanti on 2011-02-06
GHA591,2011-03-14,2011,Battles,Battles,Ashanti,Ashanti,Ashanti,6.5049,-1.5377,3,Event recorded in Ashanti on 2011-03-14
GHA592,2011-03-18,2011,Protests,Protests,Ashanti,Ashanti,Ashanti,7.0201,-1.434,0,Event recorded in Ashanti on 2011-03-18
GHA593,2011-04-20,2011,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.3031,-1.5489,0,Event recorded in Ashanti on 2011-04-20
GHA594,2011-05-22,2011,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,7.2236,-2.1517,0,Event recorded in Ashanti on 2011-05-22
GHA595,2011-06-01,2011,Explosions/Remote violence,Explosions/Remote violence,Ashanti,Ashanti,Ashanti,6.7591,-1.6876,0,Event recorded in Ashanti on 2011-06-01
GHA596,2011-06-17,2011,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,7.0127,-1.2565,0,Event recorded in Ashanti on 2011-06-17
GHA597,2011-06-20,2011,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.8996,-1.8093,2,Event recorded in Ashanti on 2011-06-20
GHA598,2011-06-23,2011,Battles,Battles,Ashanti,Ashanti,Ashanti,6.4748,-1.3848,0,Event recorded in Ashanti on 2011-06-23
GHA599,2011-06-26,2011,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.3665,-1.3884,1,Event recorded in Ashanti on 2011-06-26
GHA600,2011-07-16,2011,Protests,Protests,Ashanti,Ashanti,Ashanti,6.9162,-1.1626,0,Event recorded in Ashanti on 2011-07-16
GHA601,2011-08-18,2011,Riots,Riots,Ashanti,Ashanti,Ashanti,6.3605,-1.2287,0,Event recorded in Ashanti on 2011-08-18
GHA602,2011-08-28,2011,Protests,Protests,Ashanti,Ashanti,Ashanti,6.443,-1.41,0,Event recorded in Ashanti on 2011-08-28
GHA603,2011-09-21,2011,Battles,Battles,Ashanti,Ashanti,Ashanti,6.5411,-1.7727,1,Event recorded in Ashanti on 2011-09-21
GHA604,2011-11-04,2011,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.5836,-1.4326,0,Event recorded in Ashanti on 2011-11-04
GHA605,2011-11-20,2011,Protests,Protests,Ashanti,Ashanti,Ashanti,6.7921,-1.702,0,Event recorded in Ashanti on 2011-11-20
GHA606,2012-01-15,2012,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.2869,-1.6685,1,Event recorded in Ashanti on 2012-01-15
GHA607,2012-02-16,2012,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.9867,-1.2795,0,Event recorded in Ashanti on 2012-02-16
GHA608,2012-02-17,2012,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.7254,-1.4841,4,Event recorded in Ashanti on 2012-02-17
GHA609,2012-03-02,2012,Battles,Battles,Ashanti,Ashanti,Ashanti,6.9705,-1.4821,1,Event recorded in Ashanti on 2012-03-02
GHA610,2012-03-03,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,6.6277,-1.283,0,Event recorded in Ashanti on 2012-03-03
GHA611,2012-03-30,2012,Riots,Riots,Ashanti,Ashanti,Ashanti,6.4702,-2.2599,0,Event recorded in Ashanti on 2012-03-30
GHA612,2012-04-16,2012,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.5339,-1.6284,0,Event recorded in Ashanti on 2012-04-16
GHA613,2012-05-04,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,6.6685,-1.7317,0,Event recorded in Ashanti on 2012-05-04
GHA614,2012-05-15,2012,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.3347,-1.7752,0,Event recorded in Ashanti on 2012-05-15
GHA615,2012-05-21,2012,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.4218,-1.3198,3,Event recorded in Ashanti on 2012-05-21
GHA616,2012-05-29,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,6.905,-1.3568,0,Event recorded in Ashanti on 2012-05-29
GHA617,2012-06-06,2012,Riots,Riots,Ashanti,Ashanti,Ashanti,6.6577,-1.7824,0,Event recorded in Ashanti on 2012-06-06
GHA618,2012-06-08,2012,Riots,Riots,Ashanti,Ashanti,Ashanti,6.8666,-1.6635,0,Event recorded in Ashanti on 2012-06-08
GHA619,2012-06-10,2012,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,7.382,-1.7345,0,Event recorded in Ashanti on 2012-06-10
GHA620,2012-06-24,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,7.1618,-1.8015,0,Event recorded in Ashanti on 2012-06-24
GHA621,2012-07-15,2012,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.1958,-1.8052,0,Event recorded in Ashanti on 2012-07-15
GHA622,2012-07-23,2012,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,7.3,-1.392,0,Event recorded in Ashanti on 2012-07-23
GHA623,2012-08-05,2012,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.7951,-1.7372,2,Event recorded in Ashanti on 2012-08-05
GHA624,2012-08-09,2012,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.9201,-1.4646,0,Event recorded in Ashanti on 2012-08-09
GHA625,2012-08-16,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,6.8337,-1.6244,0,Event recorded in Ashanti on 2012-08-16
GHA626,2012-08-17,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,6.871,-1.9916,0,Event recorded in Ashanti on 2012-08-17
GHA627,2012-08-21,2012,Riots,Riots,Ashanti,Ashanti,Ashanti,6.81,-1.3901,0,Event recorded in Ashanti on 2012-08-21
GHA628,2012-08-24,2012,Riots,Riots,Ashanti,Ashanti,Ashanti,6.7236,-0.5592,0,Event recorded in Ashanti on 2012-08-24
GHA629,2012-08-31,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,6.7197,-1.8723,0,Event recorded in Ashanti on 2012-08-31
GHA630,2012-09-10,2012,Battles,Battles,Ashanti,Ashanti,Ashanti,6.6874,-1.6359,2,Event recorded in Ashanti on 2012-09-10
GHA631,2012-10-15,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,7.0386,-1.4802,0,Event recorded in Ashanti on 2012-10-15
GHA632,2012-10-21,2012,Riots,Riots,Ashanti,Ashanti,Ashanti,6.5598,-1.7188,0,Event recorded in Ashanti on 2012-10-21
GHA633,2012-10-24,2012,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.5787,-1.3532,0,Event recorded in Ashanti on 2012-10-24
GHA634,2012-11-05,2012,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.2556,-1.103,2,Event recorded in Ashanti on 2012-11-05
GHA635,2012-11-06,2012,Protests,Protests,Ashanti,Ashanti,Ashanti,6.9408,-1.4743,0,Event recorded in Ashanti on 2012-11-06
GHA636,2012-11-08,2012,Riots,Riots,Ashanti,Ashanti,Ashanti,6.736,-1.5751,0,Event recorded in Ashanti on 2012-11-08
GHA637,2012-11-09,2012,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.1241,-2.2986,0,Event recorded in Ashanti on 2012-11-09
GHA638,2012-11-25,2012,Riots,Riots,Ashanti,Ashanti,Ashanti,6.2791,-1.6573,0,Event recorded in Ashanti on 2012-11-25
GHA639,2012-11-28,2012,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,7.4192,-1.573,2,Event recorded in Ashanti on 2012-11-28
GHA640,2012-12-09,2012,Flood displacement event,Flood displacement event,Ashanti,Ashanti,Ashanti,6.7877,-1.8622,0,Event recorded in Ashanti on 2012-12-09
GHA641,2012-12-29,2012,Battles,Battles,Ashanti,Ashanti,Ashanti,6.5916,-1.7013,0,Event recorded in Ashanti on 2012-12-29
GHA642,2013-01-09,2013,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.7494,-2.0139,0,Event recorded in Ashanti on 2013-01-09
GHA643,2013-03-03,2013,Violence against civilians,Violence against civilians,Ashanti,Ashanti,Ashanti,6.9168,-1.662,2,Event recorded in Ashanti on 2013-03-03
GHA644,2013-03-28,2013,Strategic developments,Strategic developments,Ashanti,Ashanti,Ashanti,6.9564,-1.6374,0,Event recorded in Ashanti on 2013-03-28
GHA645,2013-03-30,2013,Battles,Battles,Ashanti,Ashanti,Ashanti,6.649,-1.3793,0,Event recorded in Ashanti on 2013-03-30
