date,adm1_name,adm2_name,rfh,rfh_avg,rfq,r1h,r1h_avg,r1q,r3h,r3h_avg,r3q
2018-12-18,Greater Accra,Tema Metropolitan,21.64,15,43.9,64.91,45,39.6,194.73,135,35.2
2018-12-28,Greater Accra,Tema Metropolitan,25.22,25,0.9,75.65,75,0.8,226.94,225,0.7
2019-01-07,Greater Accra,Tema Metropolitan,25.6,32,-20.0,76.79,96,-18.0,230.36,288,-16.0
2019-01-17,Greater Accra,Tema Metropolitan,20.3,18,12.7,60.9,54,11.4,182.7,162,10.2
2019-01-27,Greater Accra,Tema Metropolitan,6.31,8,-20.9,18.92,24,-18.8,56.75,72,-16.7
2019-02-06,Greater Accra,Tema Metropolitan,7.02,4,73.7,21.06,12,66.3,63.18,36,58.9
2019-02-16,Greater Accra,Tema Metropolitan,2.14,2,6.5,6.41,6,5.9,19.23,18,5.2
2019-02-26,Greater Accra,Tema Metropolitan,0.73,1,-24.9,2.18,3,-22.4,6.53,9,-19.9
2019-03-08,Greater Accra,Tema Metropolitan,2.18,2,8.8,6.55,6,7.9,19.66,18,7.0
2019-03-18,Greater Accra,Tema Metropolitan,2.64,5,-46.2,7.93,15,-41.6,23.78,45,-37.0
2019-03-28,Greater Accra,Tema Metropolitan,8.6,12,-28.1,25.8,36,-25.3,77.39,108,-22.5
2019-04-07,Greater Accra,Tema Metropolitan,11.0,8,37.0,33.0,24,33.3,99.01,72,29.6
2019-04-17,Greater Accra,Tema Metropolitan,3.85,5,-22.5,11.55,15,-20.3,34.65,45,-18.0
2019-04-27,Greater Accra,Tema Metropolitan,1.69,3,-42.2,5.07,9,-38.0,15.22,27,-33.8
2019-05-07,Greater Accra,Tema Metropolitan,4.8,4,19.6,14.41,12,17.7,43.24,36,15.7
2019-05-17,Greater Accra,Tema Metropolitan,7.07,5,40.7,21.22,15,36.6,63.67,45,32.5
2019-05-27,Greater Accra,Tema Metropolitan,3.9,3,29.0,11.7,9,26.1,35.09,27,23.2
2019-06-06,Greater Accra,Tema Metropolitan,3.0,2,47.4,8.99,6,42.7,26.96,18,37.9
2019-06-16,Greater Accra,Tema Metropolitan,1.24,2,-36.0,3.73,6,-32.4,11.19,18,-28.8
2019-06-26,Greater Accra,Tema Metropolitan,1.22,3,-57.3,3.67,9,-51.6,11.0,27,-45.9
2019-07-06,Greater Accra,Tema Metropolitan,6.25,4,54.9,18.76,12,49.4,56.27,36,43.9
2019-07-16,Greater Accra,Tema Metropolitan,2.6,3,-13.0,7.79,9,-11.7,23.37,27,-10.4
2019-07-26,Greater Accra,Tema Metropolitan,1.75,2,-11.9,5.25,6,-10.7,15.74,18,-9.6
2019-08-05,Greater Accra,Tema Metropolitan,4.66,3,53.6,13.98,9,48.2,41.94,27,42.8
2019-08-15,Greater Accra,Tema Metropolitan,3.7,3,22.4,11.09,9,20.2,33.26,27,17.9
2019-08-25,Greater Accra,Tema Metropolitan,2.46,2,21.7,7.37,6,19.5,22.1,18,17.4
2019-09-04,Greater Accra,Tema Metropolitan,7.25,4,79.2,21.74,12,71.3,65.23,36,63.4
2019-09-14,Greater Accra,Tema Metropolitan,4.71,6,-21.1,14.14,18,-19.0,42.42,54,-16.9
2019-09-24,Greater Accra,Tema Metropolitan,15.25,12,26.8,45.74,36,24.2,137.23,108,21.5
2019-10-04,Greater Accra,Tema Metropolitan,2.06,2,2.7,6.17,6,2.4,18.51,18,2.2
2019-10-14,Greater Accra,Tema Metropolitan,3.34,3,10.8,10.01,9,9.7,30.02,27,8.7
2019-10-24,Greater Accra,Tema Metropolitan,11.82,8,47.2,35.46,24,42.5,106.39,72,37.7
2019-11-03,Greater Accra,Tema Metropolitan,20.54,18,14.0,61.62,54,12.6,184.85,162,11.2
2019-11-13,Greater Accra,Tema Metropolitan,32.04,28,14.4,96.11,84,12.9,288.33,252,11.5
2019-11-23,Greater Accra,Tema Metropolitan,44.92,35,28.3,134.76,105,25.4,404.29,315,22.6
2019-12-03,Greater Accra,Tema Metropolitan,17.99,20,-10.0,53.98,60,-9.0,161.93,180,-8.0
2019-12-13,Greater Accra,Tema Metropolitan,11.43,15,-23.6,34.3,45,-21.3,102.9,135,-18.9
2019-12-23,Greater Accra,Tema Metropolitan,17.95,25,-28.1,53.84,75,-25.3,161.53,225,-22.5
2020-01-02,Greater Accra,Tema Metropolitan,15.29,32,-52.1,45.86,96,-46.9,137.57,288,-41.7
2020-01-12,Greater Accra,Tema Metropolitan,28.28,18,56.8,84.84,54,51.1,254.53,162,45.4
2020-01-22,Greater Accra,Tema Metropolitan,5.24,8,-34.0,15.73,24,-30.6,47.18,72,-27.2
2020-02-01,Greater Accra,Tema Metropolitan,3.67,4,-8.1,11.0,12,-7.3,33.01,36,-6.5
2020-02-11,Greater Accra,Tema Metropolitan,1.72,2,-13.2,5.17,6,-11.9,15.51,18,-10.5
2020-02-21,Greater Accra,Tema Metropolitan,1.23,1,21.0,3.69,3,18.9,11.07,9,16.8
2020-03-02,Greater Accra,Tema Metropolitan,2.82,2,38.8,8.45,6,35.0,25.34,18,31.1
2020-03-12,Greater Accra,Tema Metropolitan,6.51,5,29.5,19.52,15,26.6,58.55,45,23.6
2020-03-22,Greater Accra,Tema Metropolitan,9.96,12,-16.9,29.88,36,-15.2,89.63,108,-13.5
2020-04-01,Greater Accra,Tema Metropolitan,7.58,8,-5.2,22.75,24,-4.6,68.24,72,-4.1
2020-04-11,Greater Accra,Tema Metropolitan,5.49,5,9.7,16.48,15,8.7,49.45,45,7.8
2020-04-21,Greater Accra,Tema Metropolitan,2.69,3,-10.0,8.07,9,-9.0,24.2,27,-8.0
2020-05-01,Greater Accra,Tema Metropolitan,6.41,4,58.8,19.23,12,52.9,57.7,36,47.0
2020-05-11,Greater Accra,Tema Metropolitan,5.86,5,16.8,17.58,15,15.2,52.73,45,13.5
2020-05-21,Greater Accra,Tema Metropolitan,3.92,3,29.6,11.76,9,26.7,35.27,27,23.7
2020-05-31,Greater Accra,Tema Metropolitan,2.66,2,31.6,7.99,6,28.4,23.97,18,25.3
2020-06-10,Greater Accra,Tema Metropolitan,3.17,2,55.9,9.52,6,50.3,28.56,18,44.7
2020-06-20,Greater Accra,Tema Metropolitan,3.23,3,7.3,9.68,9,6.6,29.04,27,5.8
2020-06-30,Greater Accra,Tema Metropolitan,2.05,4,-47.4,6.16,12,-42.7,18.49,36,-38.0
2020-07-10,Greater Accra,Tema Metropolitan,3.5,3,16.1,10.5,9,14.5,31.5,27,12.9
2020-07-20,Greater Accra,Tema Metropolitan,1.35,2,-31.0,4.05,6,-27.9,12.14,18,-24.8
2020-07-30,Greater Accra,Tema Metropolitan,2.34,3,-21.3,7.02,9,-19.2,21.05,27,-17.1
2020-08-09,Greater Accra,Tema Metropolitan,3.73,3,23.6,11.2,9,21.3,33.6,27,18.9
2020-08-19,Greater Accra,Tema Metropolitan,3.24,2,59.0,9.71,6,53.1,29.14,18,47.2
2020-08-29,Greater Accra,Tema Metropolitan,4.03,4,0.8,12.1,12,0.7,36.29,36,0.6
2020-09-08,Greater Accra,Tema Metropolitan,6.62,6,10.1,19.85,18,9.1,59.56,54,8.1
2020-09-18,Greater Accra,Tema Metropolitan,17.96,12,49.2,53.87,36,44.3,161.62,108,39.4
2020-09-28,Greater Accra,Tema Metropolitan,2.24,2,11.5,6.72,6,10.3,20.17,18,9.2
2020-10-08,Greater Accra,Tema Metropolitan,6.25,3,104.9,18.76,9,94.4,56.27,27,83.9
2020-10-18,Greater Accra,Tema Metropolitan,9.41,8,17.5,28.24,24,15.7,84.72,72,14.0
2020-10-28,Greater Accra,Tema Metropolitan,9.2,18,-48.6,27.59,54,-43.8,82.77,162,-38.9
2020-11-07,Greater Accra,Tema Metropolitan,33.65,28,20.1,100.95,84,18.1,302.85,252,16.1
2020-11-17,Greater Accra,Tema Metropolitan,38.53,35,10.0,115.58,105,9.0,346.73,315,8.0
2020-11-27,Greater Accra,Tema Metropolitan,27.09,20,35.3,81.28,60,31.8,243.84,180,28.2
2020-12-07,Greater Accra,Tema Metropolitan,17.86,15,18.9,53.58,45,17.1,160.75,135,15.2
2020-12-17,Greater Accra,Tema Metropolitan,24.07,25,-3.7,72.2,75,-3.4,216.59,225,-3.0
2020-12-27,Greater Accra,Tema Metropolitan,21.59,32,-32.4,64.78,96,-29.2,194.34,288,-25.9
2021-01-06,Greater Accra,Tema Metropolitan,16.95,18,-5.8,50.86,54,-5.2,152.59,162,-4.6
2021-01-16,Greater Accra,Tema Metropolitan,5.87,8,-26.3,17.62,24,-23.6,52.86,72,-21.0
2021-01-26,Greater Accra,Tema Metropolitan,3.13,4,-21.2,9.39,12,-19.1,28.16,36,-17.0
2021-02-05,Greater Accra,Tema Metropolitan,2.59,2,28.0,7.77,6,25.2,23.3,18,22.4
2021-02-15,Greater Accra,Tema Metropolitan,2.25,1,113.9,6.76,3,102.5,20.27,9,91.1
2021-02-25,Greater Accra,Tema Metropolitan,2.39,2,18.8,7.18,6,16.9,21.55,18,15.0
2021-03-07,Greater Accra,Tema Metropolitan,2.91,5,-41.0,8.72,15,-36.9,26.16,45,-32.8
2021-03-17,Greater Accra,Tema Metropolitan,13.56,12,12.9,40.67,36,11.6,122.0,108,10.3
2021-03-27,Greater Accra,Tema Metropolitan,10.99,8,36.9,32.97,24,33.2,98.92,72,29.5
2021-04-06,Greater Accra,Tema Metropolitan,3.93,5,-20.9,11.8,15,-18.8,35.4,45,-16.7
2021-04-16,Greater Accra,Tema Metropolitan,2.83,3,-5.4,8.5,9,-4.9,25.49,27,-4.3
2021-04-26,Greater Accra,Tema Metropolitan,4.02,4,0.5,12.07,12,0.5,36.2,36,0.4
2021-05-06,Greater Accra,Tema Metropolitan,3.63,5,-26.9,10.88,15,-24.2,32.64,45,-21.5
2021-05-16,Greater Accra,Tema Metropolitan,3.81,3,26.1,11.43,9,23.5,34.29,27,20.9
2021-05-26,Greater Accra,Tema Metropolitan,1.88,2,-5.8,5.64,6,-5.2,16.91,18,-4.6
2021-06-05,Greater Accra,Tema Metropolitan,2.42,2,20.0,7.26,6,18.0,21.78,18,16.0
2021-06-15,Greater Accra,Tema Metropolitan,1.89,3,-35.8,5.67,9,-32.2,17.02,27,-28.6
2021-06-25,Greater Accra,Tema Metropolitan,3.34,4,-16.0,10.03,12,-14.4,30.09,36,-12.8
2021-07-05,Greater Accra,Tema Metropolitan,3.9,3,29.1,11.71,9,26.2,35.13,27,23.3
2021-07-15,Greater Accra,Tema Metropolitan,1.63,2,-17.8,4.88,6,-16.0,14.64,18,-14.2
2021-07-25,Greater Accra,Tema Metropolitan,5.16,3,69.6,15.48,9,62.7,46.43,27,55.7
2021-08-04,Greater Accra,Tema Metropolitan,2.5,3,-16.1,7.5,9,-14.5,22.5,27,-12.9
2021-08-14,Greater Accra,Tema Metropolitan,2.22,2,10.7,6.67,6,9.6,20.02,18,8.6
2021-08-24,Greater Accra,Tema Metropolitan,5.4,4,34.1,16.2,12,30.7,48.59,36,27.3
2021-09-03,Greater Accra,Tema Metropolitan,3.16,6,-46.5,9.49,18,-41.9,28.47,54,-37.2
2021-09-13,Greater Accra,Tema Metropolitan,5.84,12,-50.9,17.51,36,-45.8,52.53,108,-40.7
2021-09-23,Greater Accra,Tema Metropolitan,0.47,2,-72.7,1.42,6,-65.4,4.27,18,-58.1
2021-10-03,Greater Accra,Tema Metropolitan,4.58,3,50.9,13.73,9,45.8,41.2,27,40.7
2021-10-13,Greater Accra,Tema Metropolitan,6.62,8,-17.0,19.86,24,-15.3,59.58,72,-13.6
2021-10-23,Greater Accra,Tema Metropolitan,30.79,18,70.7,92.37,54,63.6,277.12,162,56.5
2021-11-02,Greater Accra,Tema Metropolitan,23.77,28,-15.1,71.3,84,-13.6,213.91,252,-12.0
2021-11-12,Greater Accra,Tema Metropolitan,36.71,35,4.9,110.12,105,4.4,330.36,315,3.9
2021-11-22,Greater Accra,Tema Metropolitan,28.48,20,42.2,85.44,60,38.0,256.33,180,33.8
2021-12-02,Greater Accra,Tema Metropolitan,23.53,15,56.5,70.58,45,50.8,211.73,135,45.2
2021-12-12,Greater Accra,Tema Metropolitan,38.92,25,55.4,116.75,75,49.9,350.24,225,44.4
2021-12-22,Greater Accra,Tema Metropolitan,42.27,32,32.0,126.81,96,28.8,380.44,288,25.6
2022-01-01,Greater Accra,Tema Metropolitan,23.12,18,28.3,69.36,54,25.5,208.08,162,22.6
2022-01-11,Greater Accra,Tema Metropolitan,9.48,8,18.3,28.44,24,16.5,85.33,72,14.6
2022-01-21,Greater Accra,Tema Metropolitan,5.17,4,28.5,15.5,12,25.6,46.51,36,22.8
2022-01-31,Greater Accra,Tema Metropolitan,1.45,2,-26.2,4.35,6,-23.6,13.04,18,-21.0
2022-02-10,Greater Accra,Tema Metropolitan,0.39,1,-55.8,1.16,3,-50.2,3.48,9,-44.6
2022-02-20,Greater Accra,Tema Metropolitan,2.0,2,-0.2,5.99,6,-0.1,17.97,18,-0.1
2022-03-02,Greater Accra,Tema Metropolitan,4.7,5,-5.8,14.11,15,-5.3,42.32,45,-4.7
2022-03-12,Greater Accra,Tema Metropolitan,10.41,12,-13.1,31.24,36,-11.8,93.72,108,-10.5
2022-03-22,Greater Accra,Tema Metropolitan,9.74,8,21.5,29.22,24,19.3,87.67,72,17.2
2022-04-01,Greater Accra,Tema Metropolitan,6.67,5,32.8,20.02,15,29.5,60.05,45,26.2
2022-04-11,Greater Accra,Tema Metropolitan,3.11,3,3.6,9.33,9,3.2,27.99,27,2.9
2022-04-21,Greater Accra,Tema Metropolitan,6.22,4,54.1,18.65,12,48.7,55.95,36,43.2
2022-05-01,Greater Accra,Tema Metropolitan,3.0,5,-39.2,9.01,15,-35.3,27.02,45,-31.3
2022-05-11,Greater Accra,Tema Metropolitan,2.76,3,-7.8,8.27,9,-7.0,24.82,27,-6.2
2022-05-21,Greater Accra,Tema Metropolitan,1.28,2,-34.1,3.85,6,-30.7,11.55,18,-27.3
2022-05-31,Greater Accra,Tema Metropolitan,0.13,2,-88.9,0.4,6,-80.0,1.2,18,-71.1
2022-06-10,Greater Accra,Tema Metropolitan,2.9,3,-3.3,8.69,9,-3.0,26.07,27,-2.7
2022-06-20,Greater Accra,Tema Metropolitan,3.82,4,-4.5,11.45,12,-4.0,34.36,36,-3.6
2022-06-30,Greater Accra,Tema Metropolitan,4.89,3,61.0,14.68,9,54.9,44.03,27,48.8
2022-07-10,Greater Accra,Tema Metropolitan,2.63,2,30.0,7.89,6,27.0,23.68,18,24.0
2022-07-20,Greater Accra,Tema Metropolitan,1.72,3,-41.3,5.16,9,-37.2,15.48,27,-33.0
2022-07-30,Greater Accra,Tema Metropolitan,5.32,3,74.8,15.95,9,67.3,47.86,27,59.8
2022-08-09,Greater Accra,Tema Metropolitan,3.22,2,58.1,9.66,6,52.3,28.99,18,46.5
2022-08-19,Greater Accra,Tema Metropolitan,4.87,4,21.3,14.62,12,19.2,43.86,36,17.0
2022-08-29,Greater Accra,Tema Metropolitan,5.55,6,-7.4,16.64,18,-6.7,49.92,54,-5.9
2022-09-08,Greater Accra,Tema Metropolitan,8.64,12,-27.8,25.93,36,-25.0,77.78,108,-22.2
2022-09-18,Greater Accra,Tema Metropolitan,1.63,2,-17.7,4.88,6,-16.0,14.65,18,-14.2
2022-09-28,Greater Accra,Tema Metropolitan,4.36,3,43.9,13.08,9,39.5,39.25,27,35.1
2022-10-08,Greater Accra,Tema Metropolitan,12.71,8,58.2,38.13,24,52.3,114.4,72,46.5
2022-10-18,Greater Accra,Tema Metropolitan,25.72,18,42.6,77.15,54,38.4,231.45,162,34.1
2022-10-28,Greater Accra,Tema Metropolitan,24.33,28,-13.0,73.0,84,-11.7,219.0,252,-10.4
2022-11-07,Greater Accra,Tema Metropolitan,24.64,35,-29.5,73.93,105,-26.6,221.79,315,-23.6
2022-11-17,Greater Accra,Tema Metropolitan,20.77,20,3.9,62.32,60,3.5,186.97,180,3.1
2022-11-27,Greater Accra,Tema Metropolitan,7.48,15,-49.8,22.45,45,-44.8,67.36,135,-39.8
2022-12-07,Greater Accra,Tema Metropolitan,27.18,25,8.7,81.54,75,7.8,244.63,225,7.0
2022-12-17,Greater Accra,Tema Metropolitan,30.75,32,-3.9,92.24,96,-3.5,276.71,288,-3.1
2022-12-27,Greater Accra,Tema Metropolitan,15.67,18,-12.9,47.01,54,-11.6,141.03,162,-10.3
2023-01-06,Greater Accra,Tema Metropolitan,4.01,8,-49.2,12.04,24,-44.3,36.12,72,-39.4
2023-01-16,Greater Accra,Tema Metropolitan,4.77,4,18.8,14.31,12,16.9,42.93,36,15.0
2023-01-26,Greater Accra,Tema Metropolitan,1.47,2,-25.4,4.4,6,-22.8,13.21,18,-20.3
2023-02-05,Greater Accra,Tema Metropolitan,0.12,1,-79.8,0.37,3,-71.8,1.1,9,-63.8
2023-02-15,Greater Accra,Tema Metropolitan,0.0,2,-95.2,0.0,6,-85.7,0.0,18,-76.2
2023-02-25,Greater Accra,Tema Metropolitan,4.95,5,-0.9,14.86,15,-0.8,44.57,45,-0.8
2023-03-07,Greater Accra,Tema Metropolitan,18.2,12,51.3,54.61,36,46.1,163.83,108,41.0
2023-03-17,Greater Accra,Tema Metropolitan,12.15,8,51.3,36.46,24,46.1,109.38,72,41.0
2023-03-27,Greater Accra,Tema Metropolitan,4.2,5,-15.7,12.6,15,-14.1,37.8,45,-12.5
2023-04-06,Greater Accra,Tema Metropolitan,2.25,3,-24.3,6.74,9,-21.9,20.23,27,-19.4
2023-04-16,Greater Accra,Tema Metropolitan,4.7,4,17.2,14.11,12,15.4,42.33,36,13.7
2023-04-26,Greater Accra,Tema Metropolitan,3.25,5,-34.3,9.76,15,-30.8,29.28,45,-27.4
2023-05-06,Greater Accra,Tema Metropolitan,3.38,3,12.2,10.13,9,11.0,30.4,27,9.7
2023-05-16,Greater Accra,Tema Metropolitan,2.77,2,36.5,8.3,6,32.8,24.89,18,29.2
2023-05-26,Greater Accra,Tema Metropolitan,3.23,2,58.4,9.68,6,52.6,29.04,18,46.7
2023-06-05,Greater Accra,Tema Metropolitan,2.87,3,-4.0,8.62,9,-3.6,25.87,27,-3.2
2023-06-15,Greater Accra,Tema Metropolitan,3.69,4,-7.5,11.08,12,-6.7,33.25,36,-6.0
2023-06-25,Greater Accra,Tema Metropolitan,1.9,3,-35.4,5.71,9,-31.9,17.12,27,-28.3
2023-07-05,Greater Accra,Tema Metropolitan,1.17,2,-39.4,3.52,6,-35.4,10.56,18,-31.5
2023-07-15,Greater Accra,Tema Metropolitan,2.72,3,-9.1,8.15,9,-8.2,24.45,27,-7.3
2023-07-25,Greater Accra,Tema Metropolitan,3.46,3,14.8,10.38,9,13.3,31.13,27,11.9
2023-08-04,Greater Accra,Tema Metropolitan,2.91,2,43.5,8.74,6,39.2,26.22,18,34.8
2023-08-14,Greater Accra,Tema Metropolitan,2.8,4,-29.4,8.39,12,-26.4,25.16,36,-23.5
2023-08-24,Greater Accra,Tema Metropolitan,8.99,6,48.9,26.96,18,44.0,80.87,54,39.2
2023-09-03,Greater Accra,Tema Metropolitan,11.05,12,-7.8,33.15,36,-7.1,99.46,108,-6.3
2023-09-13,Greater Accra,Tema Metropolitan,1.98,2,-1.0,5.94,6,-0.9,17.81,18,-0.8
2023-09-23,Greater Accra,Tema Metropolitan,2.07,3,-30.1,6.2,9,-27.1,18.59,27,-24.1
2023-10-03,Greater Accra,Tema Metropolitan,1.94,8,-74.8,5.82,24,-67.3,17.45,72,-59.9
2023-10-13,Greater Accra,Tema Metropolitan,22.42,18,24.4,67.26,54,22.0,201.78,162,19.5
2023-10-23,Greater Accra,Tema Metropolitan,33.53,28,19.7,100.58,84,17.7,301.74,252,15.7
2023-11-02,Greater Accra,Tema Metropolitan,32.4,35,-7.4,97.19,105,-6.7,291.58,315,-5.9
2023-11-12,Greater Accra,Tema Metropolitan,20.37,20,1.8,61.11,60,1.6,183.32,180,1.5
2023-11-22,Greater Accra,Tema Metropolitan,17.19,15,14.5,51.58,45,13.1,154.73,135,11.6
2023-12-02,Greater Accra,Tema Metropolitan,14.45,25,-42.0,43.36,75,-37.8,130.08,225,-33.6
2023-12-12,Greater Accra,Tema Metropolitan,27.5,32,-14.0,82.51,96,-12.6,247.53,288,-11.2
2023-12-22,Greater Accra,Tema Metropolitan,21.97,18,21.9,65.91,54,19.7,197.74,162,17.6
2024-01-01,Greater Accra,Tema Metropolitan,4.86,8,-38.7,14.59,24,-34.8,43.78,72,-31.0
2024-01-11,Greater Accra,Tema Metropolitan,4.44,4,10.7,13.32,12,9.7,39.96,36,8.6
2024-01-21,Greater Accra,Tema Metropolitan,0.64,2,-64.6,1.93,6,-58.1,5.79,18,-51.7
2024-01-31,Greater Accra,Tema Metropolitan,1.35,1,31.8,4.05,3,28.6,12.15,9,25.4
2024-02-10,Greater Accra,Tema Metropolitan,1.96,2,-1.7,5.89,6,-1.5,17.68,18,-1.4
2024-02-20,Greater Accra,Tema Metropolitan,2.17,5,-55.4,6.52,15,-49.9,19.56,45,-44.3
2024-03-01,Greater Accra,Tema Metropolitan,16.08,12,33.7,48.23,36,30.3,144.69,108,27.0
2024-03-11,Greater Accra,Tema Metropolitan,6.16,8,-22.7,18.49,24,-20.4,55.47,72,-18.1
2024-03-21,Greater Accra,Tema Metropolitan,3.58,5,-27.8,10.75,15,-25.0,32.24,45,-22.2
2024-03-31,Greater Accra,Tema Metropolitan,3.25,3,8.1,9.75,9,7.3,29.26,27,6.5
2024-04-10,Greater Accra,Tema Metropolitan,5.72,4,42.0,17.17,12,37.8,51.51,36,33.6
2024-04-20,Greater Accra,Tema Metropolitan,3.22,5,-34.9,9.67,15,-31.4,29.0,45,-27.9
2024-04-30,Greater Accra,Tema Metropolitan,3.08,3,2.5,9.23,9,2.2,27.69,27,2.0
2024-05-10,Greater Accra,Tema Metropolitan,2.43,2,20.4,7.29,6,18.4,21.86,18,16.3
2024-05-20,Greater Accra,Tema Metropolitan,2.69,2,33.0,8.08,6,29.7,24.24,18,26.4
2024-05-30,Greater Accra,Tema Metropolitan,3.22,3,7.1,9.66,9,6.4,28.98,27,5.7
2024-06-09,Greater Accra,Tema Metropolitan,3.45,4,-13.4,10.35,12,-12.1,31.05,36,-10.7
2024-06-19,Greater Accra,Tema Metropolitan,1.97,3,-33.4,5.9,9,-30.0,17.69,27,-26.7
2024-06-29,Greater Accra,Tema Metropolitan,2.09,2,4.1,6.26,6,3.7,18.78,18,3.3
2024-07-09,Greater Accra,Tema Metropolitan,1.66,3,-43.2,4.98,9,-38.9,14.94,27,-34.6
2024-07-19,Greater Accra,Tema Metropolitan,0.0,3,-96.8,0.0,9,-87.1,0.0,27,-77.4
2024-07-29,Greater Accra,Tema Metropolitan,2.44,2,20.8,7.31,6,18.7,21.93,18,16.6
2024-08-08,Greater Accra,Tema Metropolitan,5.36,4,33.1,16.07,12,29.8,48.2,36,26.5
2024-08-18,Greater Accra,Tema Metropolitan,1.27,6,-77.5,3.82,18,-69.7,11.47,54,-62.0
2024-08-28,Greater Accra,Tema Metropolitan,8.47,12,-29.2,25.4,36,-26.3,76.19,108,-23.4
2024-09-07,Greater Accra,Tema Metropolitan,2.62,2,29.5,7.86,6,26.5,23.57,18,23.6
2024-09-17,Greater Accra,Tema Metropolitan,5.57,3,83.0,16.72,9,74.7,50.15,27,66.4
2024-09-27,Greater Accra,Tema Metropolitan,8.05,8,0.6,24.16,24,0.6,72.47,72,0.5
2024-10-07,Greater Accra,Tema Metropolitan,14.36,18,-20.1,43.08,54,-18.1,129.24,162,-16.1
2024-10-17,Greater Accra,Tema Metropolitan,26.63,28,-4.9,79.88,84,-4.4,239.65,252,-3.9
2024-10-27,Greater Accra,Tema Metropolitan,47.72,35,36.2,143.15,105,32.6,429.46,315,29.0
2024-11-06,Greater Accra,Tema Metropolitan,16.45,20,-17.7,49.34,60,-15.9,148.02,180,-14.1
2024-11-16,Greater Accra,Tema Metropolitan,11.6,15,-22.5,34.81,45,-20.2,104.43,135,-18.0
2024-11-26,Greater Accra,Tema Metropolitan,21.74,25,-13.0,65.22,75,-11.7,195.67,225,-10.4
2024-12-06,Greater Accra,Tema Metropolitan,23.9,32,-25.2,71.69,96,-22.7,215.07,288,-20.2
2024-12-16,Greater Accra,Tema Metropolitan,18.61,18,3.4,55.84,54,3.0,167.52,162,2.7
2024-12-26,Greater Accra,Tema Metropolitan,12.06,8,50.1,36.19,24,45.1,108.56,72,40.1
2003-01-01,Greater Accra,Ga East,2.32,2,15.4,6.97,6,13.8,20.91,18,12.3
2003-01-11,Greater Accra,Ga East,2.68,3,-10.2,8.05,9,-9.2,24.16,27,-8.1
2003-01-21,Greater Accra,Ga East,7.27,8,-9.0,21.81,24,-8.1,65.43,72,-7.2
2003-01-31,Greater Accra,Ga East,10.18,18,-43.2,30.55,54,-38.9,91.66,162,-34.5
2003-02-10,Greater Accra,Ga East,34.62,28,23.6,103.87,84,21.2,311.61,252,18.9
2003-02-20,Greater Accra,Ga East,34.28,35,-2.1,102.84,105,-1.8,308.52,315,-1.6
2003-03-02,Greater Accra,Ga East,19.01,20,-4.9,57.02,60,-4.4,171.07,180,-4.0
2003-03-12,Greater Accra,Ga East,28.57,15,89.9,85.71,45,80.9,257.14,135,71.9
2003-03-22,Greater Accra,Ga East,27.02,25,8.0,81.05,75,7.2,243.15,225,6.4
2003-04-01,Greater Accra,Ga East,25.61,32,-19.9,76.83,96,-17.9,230.49,288,-15.9
2003-04-11,Greater Accra,Ga East,15.87,18,-11.8,47.6,54,-10.6,142.81,162,-9.4
2003-04-21,Greater Accra,Ga East,10.87,8,35.4,32.61,24,31.9,97.84,72,28.4
2003-05-01,Greater Accra,Ga East,4.17,4,4.1,12.51,12,3.7,37.53,36,3.3
2003-05-11,Greater Accra,Ga East,0.56,2,-68.5,1.69,6,-61.6,5.06,18,-54.8
2003-05-21,Greater Accra,Ga East,1.69,1,62.7,5.07,3,56.4,15.2,9,50.1
2003-05-31,Greater Accra,Ga East,1.33,2,-31.8,4.0,6,-28.6,11.99,18,-25.5
2003-06-10,Greater Accra,Ga East,8.28,5,64.3,24.83,15,57.9,74.5,45,51.4
2003-06-20,Greater Accra,Ga East,15.78,12,31.2,47.34,36,28.1,142.02,108,25.0
2003-06-30,Greater Accra,Ga East,6.88,8,-13.8,20.65,24,-12.4,61.94,72,-11.0
2003-07-10,Greater Accra,Ga East,7.24,5,44.0,21.73,15,39.6,65.18,45,35.2
2003-07-20,Greater Accra,Ga East,3.08,3,2.7,9.25,9,2.5,27.76,27,2.2
2003-07-30,Greater Accra,Ga East,5.28,4,31.2,15.84,12,28.1,47.51,36,25.0
2003-08-09,Greater Accra,Ga East,5.85,5,16.6,17.54,15,15.0,52.63,45,13.3
2003-08-19,Greater Accra,Ga East,1.94,3,-34.1,5.83,9,-30.7,17.48,27,-27.3
2003-08-29,Greater Accra,Ga East,1.36,2,-30.6,4.07,6,-27.6,12.21,18,-24.5
2003-09-08,Greater Accra,Ga East,3.03,2,49.0,9.09,6,44.1,27.27,18,39.2
2003-09-18,Greater Accra,Ga East,2.58,3,-13.5,7.74,9,-12.1,23.23,27,-10.8
2003-09-28,Greater Accra,Ga East,3.39,4,-14.8,10.18,12,-13.3,30.55,36,-11.8
2003-10-08,Greater Accra,Ga East,1.81,3,-38.5,5.42,9,-34.7,16.25,27,-30.8
2003-10-18,Greater Accra,Ga East,2.42,2,20.2,7.27,6,18.2,21.81,18,16.1
2003-10-28,Greater Accra,Ga East,5.58,3,83.2,16.73,9,74.8,50.2,27,66.5
2003-11-07,Greater Accra,Ga East,1.67,3,-43.0,5.0,9,-38.7,14.99,27,-34.4
2003-11-17,Greater Accra,Ga East,2.02,2,1.2,6.07,6,1.0,18.22,18,0.9
